Date,AXP,AAPL,CAT,BA,CSCO,CVX,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
1/25/09,1258,8435,725,2141,1594,611,688,1276,2219,1316,1088,2950,3334,899,6307,1757,5615,728,429,15600,3251,1184,1651,104,174,265,1986,683,5105,6417
1/26/09,1782,9888,3520,2333,1955,750,854,1502,2664,1926,2504,4279,3477,1613,7559,2134,7291,798,680,15886,4421,5751,2135,165,233,309,1632,951,5688,5875
1/27/09,1906,9552,2775,2281,2023,789,1145,1665,3042,2050,2262,4136,3273,1624,7980,2413,7969,901,620,16104,4658,3953,2257,209,262,352,1870,1084,6050,5791
1/28/09,1732,9040,1413,2899,2029,835,1046,1510,2926,2058,1645,4309,3379,1515,8094,2327,6997,927,565,15158,4589,2107,2122,204,306,330,1830,991,5793,6017
1/29/09,1600,9227,1133,2978,2015,821,936,1752,2894,2082,1392,4079,3188,1489,7814,2464,7258,1056,615,14823,4583,1675,2253,159,285,390,1811,824,5635,6005
1/30/09,1555,8277,1134,2671,1902,1003,889,3445,2795,1854,1185,3515,2949,1182,9321,2145,7109,872,530,14438,4175,1368,1960,167,260,369,1746,782,5895,5516
1/31/09,1065,6276,1011,1967,1265,659,657,2079,1963,1221,966,2481,2547,854,5790,1412,5235,621,367,12148,3144,1039,1556,121,151,243,1349,649,5927,5532
2/1/09,1149,7162,985,2035,1575,628,754,1658,2459,1434,1036,2875,2907,952,7636,1562,5830,767,450,13936,3780,1029,1673,111,154,275,2057,658,5034,6349
2/2/09,1416,8381,1065,2188,2028,792,928,2201,3301,1572,1078,3628,3362,1279,9222,1931,6891,941,503,14955,4494,1378,2100,193,263,366,2017,814,5778,6233
2/3/09,1508,8566,1029,2210,2122,836,899,1907,2864,1692,1071,3850,3153,1463,8469,2335,7587,906,686,13598,4845,1342,2151,167,293,316,1481,832,5823,5777
2/4/09,1701,8611,1059,2109,2102,817,1054,1726,2967,2006,1118,3691,2945,1524,8387,2190,7120,890,631,13683,4785,1297,2225,174,242,315,1497,960,5381,5444
2/5/09,1624,9701,960,2072,2566,748,1958,1772,3013,2235,1122,3861,3115,1634,8241,2330,7525,806,616,14485,4964,1256,2368,212,288,384,1530,1181,5710,5947
2/6/09,1422,8884,941,2247,1905,764,946,1651,3179,1793,926,3597,2791,1314,7704,2390,6684,722,501,14168,4500,1083,2034,149,279,326,1453,1025,5839,6008
2/7/09,1091,6529,720,1988,1325,548,843,1120,2147,1278,959,2399,2317,795,5596,1733,5045,483,376,12681,3042,765,1447,116,112,206,1259,849,4067,5414
2/8/09,1128,7235,788,2016,1281,623,748,1304,2322,1375,987,2542,2451,1084,6722,1782,5733,552,380,13117,3649,835,1588,107,119,238,1186,794,4553,5835
2/9/09,1615,9657,1068,2304,1981,852,993,1752,2985,1737,1207,3752,3196,1452,8784,2440,7722,893,620,14177,5293,1206,2297,180,282,349,1658,1119,5921,6012
2/10/09,1633,9133,1044,2652,2197,845,998,1668,3134,1937,1120,4282,3339,1512,8619,2509,7433,854,618,14109,5352,1158,2438,183,306,382,1496,972,5874,5876
2/11/09,1613,9101,1088,2449,2090,722,1006,1635,3148,2597,1044,4004,3707,1614,9049,2978,7685,813,554,14644,5633,1167,2360,186,278,386,1477,1136,5717,5671
2/12/09,1555,8972,1186,2283,2100,730,992,1662,2824,2103,1145,3624,3122,1328,8560,2668,7276,778,576,13600,4905,1104,2160,147,224,375,1511,1022,5561,5683
2/13/09,1361,8060,1393,2339,1723,735,853,1593,2465,1712,1022,3172,2640,1191,18097,2491,6380,757,492,12982,4224,1041,1845,185,187,325,1283,889,5293,5539
2/14/09,952,5631,985,1941,1211,568,638,1130,1932,1187,957,2457,2136,789,5664,1537,4750,526,328,11292,3002,766,1363,79,101,228,1106,693,4111,5253
2/15/09,1137,6155,1218,2146,1279,593,762,1264,2052,1216,1056,2463,2376,926,5940,1486,5645,563,367,11890,3493,853,1510,135,166,232,1090,743,4556,5669
2/16/09,1460,8070,1338,2582,1855,808,1007,1632,2826,1591,1322,3357,2865,1421,7484,2115,7421,730,589,13596,4487,1109,2144,156,211,369,1422,972,5692,6225
2/17/09,1612,8747,1028,2533,2117,811,1097,1866,2935,2235,1183,4152,2950,1433,8065,2470,7484,813,609,13719,4926,1210,2437,167,267,336,1551,1053,6310,6003
2/18/09,1490,9923,1102,2286,2070,849,1008,1734,3285,2359,1313,3600,2978,1460,8193,2556,7138,760,580,12370,5045,1175,2289,160,229,387,1660,1100,7103,5733
2/19/09,1492,8688,1063,2353,2043,816,1007,1815,3234,2371,1125,3708,2971,1379,8206,2662,7476,822,580,14247,5100,1219,2738,149,279,346,1542,1042,5960,5816
2/20/09,1623,8091,924,2429,1922,776,919,1525,3090,2676,1320,3653,2775,1310,7502,2720,6597,768,531,13997,4317,954,2052,169,239,337,1474,984,5655,5588
2/21/09,1191,6682,775,1820,1330,553,638,1041,2256,1584,1067,2507,2313,791,5400,1975,5184,587,372,12097,3182,749,1501,114,163,226,1131,764,4253,5413
2/22/09,1161,7578,1310,2003,1473,597,779,1314,2251,1496,1042,2596,2462,953,6367,1778,6186,603,380,12809,3856,822,1740,92,135,284,1142,755,4564,5899
2/23/09,1712,9584,1228,2282,2260,823,1065,1643,3213,1866,1118,3365,2838,1457,9017,2572,8084,881,631,14720,5357,1219,2367,204,224,363,1410,1125,6016,6709
2/24/09,1905,9514,1100,2312,2325,845,1114,1721,3339,1996,1345,3623,2964,1481,8820,2808,7765,852,656,14811,5491,1206,2411,208,270,451,1632,1129,5715,5973
2/25/09,1561,9985,966,2724,2157,791,1019,1716,2990,1823,1060,3683,3035,1412,8749,2450,7577,892,558,14634,5259,1215,2559,202,238,357,1446,1066,5483,5869
2/26/09,1571,10320,1250,2723,2238,846,986,1681,3136,2010,1112,3622,2870,1509,8354,2588,7873,866,616,14602,5372,1306,2229,194,271,334,1385,1027,5600,5739
2/27/09,1487,9353,926,2631,1967,863,964,1525,3210,1763,1044,3183,2742,1311,8220,2535,7187,706,552,13293,4491,1091,2117,209,267,348,1456,1007,5161,5712
2/28/09,1130,6598,824,2240,1340,590,1885,1194,2650,1192,905,2358,2237,981,5706,1711,5393,563,416,11871,3388,3249,1702,123,134,247,1030,801,4175,5362
3/1/09,1325,7927,903,2127,1446,633,1005,1370,2482,1296,1001,2629,2443,1132,7020,1703,6809,618,430,12487,3892,3696,1874,112,122,284,1044,838,4871,6127
3/2/09,1957,9632,1067,2430,1943,895,1070,1859,3393,2008,1161,3506,3080,1503,8910,2604,8146,978,620,13799,5504,4097,2293,204,251,435,1490,1074,5827,6300
3/3/09,1816,9892,1093,2312,2164,905,1047,1765,3956,2193,1155,3548,3614,1502,8867,2677,7945,1099,640,13621,5211,1962,2459,195,283,491,1416,1080,5858,6223
3/4/09,1545,10666,1085,2370,2145,829,1109,1747,4127,1781,1143,3699,3203,1559,8759,2570,8018,960,606,14423,5194,1238,2423,203,191,448,1517,1065,5553,5832
3/5/09,1503,9567,1021,2292,2128,799,1067,1820,4440,1791,1002,3700,2944,1377,8397,2608,7779,930,658,13764,5454,1255,2318,204,224,380,1474,1100,5864,5603
3/6/09,1500,8798,1010,2250,1930,806,1010,1655,3738,1706,1060,3515,2794,1447,7448,2494,6863,845,543,13809,4761,1210,2039,179,212,379,1384,899,5292,5557
3/7/09,1137,6330,707,1823,1368,618,711,1186,2469,1359,1054,2582,2233,842,5484,1735,5174,587,407,11532,3323,757,1573,119,116,265,987,818,4069,5515
3/8/09,1154,7079,715,1845,1366,645,808,1292,2654,1395,827,2570,2456,910,6606,1748,6341,681,445,12055,3882,855,1801,142,136,276,943,751,5077,6054
3/9/09,1540,9199,1022,2318,2047,904,1128,1842,3799,1738,877,3527,2723,1826,8574,2421,8221,887,3647,13251,5568,1690,2553,174,199,382,1414,1033,5915,6014
3/10/09,1592,12295,894,2337,2190,833,1044,1677,3676,1832,865,3683,2831,1630,8811,2859,8339,884,1980,14333,5328,1446,2364,231,217,2183,1327,1066,5789,6447
3/11/09,1610,10286,997,2207,2207,774,932,1650,3298,1822,884,3499,2732,1431,8784,2807,8302,833,1048,14798,5402,1125,2371,197,183,829,1461,1105,5942,6256
3/12/09,1595,10848,827,2418,2182,882,1004,1800,3721,1945,986,3857,2998,1519,9435,2739,7950,857,925,17306,5139,1311,2402,200,256,517,1360,1036,7399,7364
3/13/09,1467,9186,793,2327,2080,791,916,1510,3419,1764,922,3420,2606,1290,7759,2573,6819,772,783,16825,4724,1219,2045,200,200,453,1331,979,5730,6860
3/14/09,1150,7121,589,1758,1412,609,654,1225,2333,1294,670,2514,2075,929,5420,1840,5602,587,531,14097,3413,859,1599,109,112,278,1066,788,4672,6667
3/15/09,1147,8599,668,2054,1530,629,777,1402,2681,1389,791,2652,2364,1059,7469,1887,6561,636,542,12205,4175,859,1799,108,117,341,1076,856,5400,7077
3/16/09,1673,9645,904,2290,2320,900,980,1858,3224,2561,948,3718,2963,1662,8686,2726,8869,936,751,13100,5536,1275,2475,224,239,444,1360,1102,6234,7281
3/17/09,1766,10496,1231,2182,2785,848,1051,1658,3136,2336,961,3625,2942,1479,8758,2679,7953,977,713,13601,5190,1232,2368,205,285,414,1401,1108,5709,6411
3/18/09,2097,11219,1119,2336,2579,850,1028,1669,3413,2393,840,6617,3127,1476,9125,2471,7843,1100,677,14250,5570,1295,2238,242,259,495,1450,1120,6420,5998
3/19/09,1524,9974,986,2175,2591,755,1019,1545,3406,2263,907,5115,2995,1488,8596,2309,7716,969,623,8106,4861,1153,2312,223,254,823,1455,1128,6857,6033
3/20/09,1351,9228,1053,2078,2214,825,976,1439,2943,2434,880,3916,2627,1372,7228,2435,7198,770,654,7010,4398,1035,2126,172,212,628,1442,1048,5658,5813
3/21/09,1088,7015,706,1698,1482,570,706,1214,2120,1568,712,2735,1991,962,5680,1699,5285,608,404,5075,3235,707,1542,123,145,347,1022,875,4321,5485
3/22/09,1081,8204,804,1873,1467,604,751,1375,2275,1654,697,2827,2171,998,6859,1761,6409,682,494,5739,3993,858,1616,108,119,364,1131,808,4863,6291
3/23/09,1604,10174,941,2731,2275,866,1093,1886,3212,2160,915,3992,2811,1554,8814,2759,8006,995,685,7451,5641,1213,2567,221,216,493,1442,1109,6027,6605
3/24/09,1506,11142,917,2492,2290,932,1054,2607,3202,2746,895,3903,2913,1454,9309,2657,8982,970,626,8191,5594,1117,2411,190,228,553,2065,1073,5921,6119
3/25/09,1492,10359,819,2508,2182,815,1120,1815,3168,2339,1088,4062,2644,1562,8771,2535,8494,1121,582,8289,5426,1074,2360,180,266,703,1935,1051,5689,6054
3/26/09,2020,9827,910,2311,2193,903,1022,1885,2983,2131,1185,4708,2776,1311,8569,2448,8182,1217,682,7641,5197,1151,2382,181,223,577,1878,1043,5529,6182
3/27/09,1806,8922,941,2064,1934,795,1044,1674,2680,1954,1033,3677,2733,1251,7991,2328,7359,802,569,7225,4563,1214,1974,201,220,397,1881,895,5113,5707
3/28/09,1221,18068,721,1868,1546,567,735,1162,2193,1504,960,2494,2006,808,5780,1766,5810,559,371,5267,3323,771,1476,112,106,269,1438,833,4167,5435
3/29/09,1279,7733,757,1979,1340,668,767,1415,2320,1531,1164,2834,2285,1097,7100,1651,7065,638,396,5797,3978,1030,1804,114,118,283,1358,806,5057,6701
3/30/09,1555,10139,932,2204,2039,787,1162,1705,3333,1932,1423,3756,2751,1359,9320,2416,7919,932,548,7458,5745,1255,2334,177,250,384,1510,1041,5982,6525
3/31/09,1604,12008,1236,2471,2058,804,1034,1678,3128,1754,1215,3736,2806,1493,8492,2398,8047,961,604,8958,5251,1249,2374,207,220,353,1584,1098,5679,6049
4/1/09,1403,11592,1123,2417,1988,809,1085,1539,2877,1747,1202,3522,2804,1308,8476,2265,7423,994,533,10344,4985,1097,2265,201,250,322,1520,1025,5252,5934
4/2/09,1599,9757,942,2313,1915,776,1180,1475,2974,1678,1231,3486,2746,1282,8666,2441,7118,1006,632,7838,5028,1054,2578,208,187,340,1686,914,5500,5912
4/3/09,1496,8656,1010,2141,1797,710,962,1439,2631,1657,1198,4530,2957,1304,7342,2262,6550,879,523,7255,4190,1000,2005,191,186,349,1439,886,5136,5619
4/4/09,1054,6928,804,1817,1304,673,967,1084,2000,1221,1055,3642,2276,833,5238,1616,4825,603,349,10731,3078,749,1531,116,138,240,1063,751,4168,5308
4/5/09,1061,7191,637,1919,1290,620,979,1153,2883,1324,1344,2886,2198,1566,6182,2218,5866,638,375,6421,3861,731,1697,107,115,235,1297,702,4636,5618
4/6/09,1675,9078,877,2498,2241,779,1367,1546,2981,1772,1448,4387,2930,1306,7801,2437,7075,864,619,7462,4787,1222,2437,202,245,418,1840,1072,6506,6322
4/7/09,1602,9728,1043,2492,2100,847,1267,1609,4904,3033,1453,3853,2683,1415,8343,2444,6902,955,637,7175,4885,1260,2243,181,250,395,1690,1046,6169,6111
4/8/09,1697,9185,907,2223,2100,814,1119,1599,3027,1974,1300,3459,2654,1495,8459,2360,6997,927,653,7025,4585,1215,2327,201,229,358,1602,986,5904,5896
4/9/09,1700,8846,947,2782,2030,845,1022,1615,3028,1645,1315,3267,2797,1313,7682,2383,6357,883,614,6475,4185,1170,2040,195,217,396,1690,889,5444,6167
4/10/09,1366,7290,823,2150,1529,803,900,1327,2597,1556,1214,2669,2458,1001,5758,2197,5543,772,453,5284,3483,836,1667,122,168,357,1524,829,4774,5842
4/11/09,1210,6624,635,1867,1279,680,645,1108,2090,1172,1083,2335,2011,886,5427,1703,5893,618,399,4779,3208,810,1348,122,125,310,1340,770,4280,6217
4/12/09,1011,6807,617,1798,1267,607,723,1243,2238,1353,1079,2351,1986,809,5674,1504,5442,531,367,4786,3716,728,1560,87,111,226,1216,650,4343,5720
4/13/09,1493,8827,855,2182,1862,845,996,1647,3108,2855,1515,3089,2543,1231,7254,2417,6774,819,542,6541,4717,1043,2305,192,207,352,1665,888,5701,6830
4/14/09,1794,9381,925,2246,2030,933,1135,1771,3206,4713,1313,3495,2756,1486,8390,2757,7399,827,632,6916,4911,1263,2985,220,243,391,1636,1050,5944,6367
4/15/09,1609,8908,866,2339,2070,784,1061,1545,3415,2895,1569,3481,3145,1333,8091,2641,8373,824,605,6599,4810,1177,2509,204,248,322,1763,891,6027,6205
4/16/09,1665,8499,895,2290,2023,921,1121,1544,3090,2478,1307,3351,2643,1419,7762,3327,6983,760,545,7094,4411,1388,2307,225,219,367,1551,1068,5566,5717
4/17/09,1394,8183,833,2001,2173,640,989,1326,3249,2015,1254,3159,2486,1215,6954,2656,6244,762,484,6252,4387,1104,1968,210,224,297,1580,930,5252,5924
4/18/09,1069,6686,632,1644,1217,551,717,1141,2055,1305,1036,2304,1988,834,5404,1630,4912,528,287,4757,3129,691,1410,126,105,198,1082,660,4364,5724
4/19/09,1142,7125,742,1991,1213,730,846,1847,2407,1296,1292,2447,2054,990,6616,1573,5946,657,412,7762,3968,926,1751,105,138,205,1149,772,5111,6222
4/20/09,1529,9150,832,2075,2032,980,1147,2450,3293,1765,1401,4558,2586,1393,8489,2418,7712,823,594,10805,5173,1177,2302,165,185,319,1533,1004,6045,6097
4/21/09,1606,9367,1092,2228,2356,858,1263,1997,3184,1882,1404,4253,2628,1417,8767,2346,7937,875,715,12476,5081,1122,2185,195,225,381,1572,968,6573,6257
4/22/09,1546,9123,1016,2400,1947,745,1109,1683,2965,1877,1347,3578,2546,1323,8414,2271,7632,792,555,12230,5207,1059,2214,177,197,321,1623,986,6143,6139
4/23/09,1525,9551,885,2259,1980,809,1050,1627,3111,1676,1254,3537,2568,1272,8691,2286,7482,750,538,11558,4855,1103,2244,191,200,311,1597,1122,5589,6060
4/24/09,1455,8991,932,2037,1830,771,938,1584,3135,1533,1266,3022,2370,1242,7806,2063,6592,800,434,11821,4343,919,1901,165,191,262,1353,981,4932,5793
4/25/09,1052,6611,703,1644,1164,567,706,1213,2008,1041,1107,2228,1842,841,5665,1502,5566,526,400,7323,3241,681,1438,110,105,189,1067,772,4290,5374
4/26/09,1048,7330,661,1986,1208,630,797,1365,2116,1327,1137,2388,2047,986,6653,1473,6028,621,399,8032,4102,759,1620,113,108,217,1032,857,7246,6134
4/27/09,1524,9133,902,2382,1823,878,1109,1898,3180,1810,1473,3603,2626,1574,8527,2112,7697,793,650,12142,5665,1191,2252,221,215,316,1812,1019,5966,5906
4/28/09,1488,9573,1001,2286,2065,773,1158,1634,3038,1724,1363,3607,2660,1586,8508,2311,7678,816,591,10602,5890,1292,2126,199,234,261,1893,978,5880,5949
4/29/09,1368,9334,936,2087,1857,780,1190,1830,2978,1500,1369,3379,2540,1374,8470,2216,7357,903,625,10301,5405,1173,2047,177,199,298,1769,1052,5725,5845
4/30/09,1386,9313,856,2049,1782,854,1029,1784,2750,1590,1344,3133,2503,1490,7681,2297,7704,1189,516,11789,5103,1105,2075,211,206,330,1580,1072,5475,6024
5/1/09,1304,8071,872,1982,1557,771,900,1402,2379,1512,1286,2812,2294,1310,7143,2065,6690,802,484,11586,4310,942,1778,162,190,329,1407,882,4857,5868
5/2/09,951,6497,783,1810,1117,583,681,1130,1884,1103,1107,2111,2105,926,5511,1529,5412,499,347,10286,3288,705,1385,85,112,189,1104,665,4274,5441
5/3/09,1110,7894,675,1816,1173,648,733,1254,2059,1127,1268,2267,2228,974,6568,1604,6047,659,587,10903,3885,705,1561,99,82,218,1207,762,4916,5732
5/4/09,1439,9522,927,2202,1747,1078,1076,1620,2723,1553,1322,3328,2611,1493,9719,2220,7517,765,663,12143,5139,1110,2129,175,182,350,1566,958,5741,6215
5/5/09,1457,10227,913,2144,1850,867,1062,1705,2680,1552,1342,3345,2714,1494,9208,2373,8042,738,543,12740,5565,1105,1996,176,178,309,1539,1032,5833,6251
5/6/09,1494,10093,914,2003,2039,1111,1049,1538,2703,1538,1265,3192,2627,1456,8769,2442,8123,716,619,12640,5482,1089,2017,154,198,340,1568,987,5796,5919
5/7/09,1502,8962,900,2181,2080,1018,1142,1469,2836,1574,1258,3139,2614,1399,8687,2332,7853,693,477,12605,5295,1074,2009,152,213,332,1450,909,5575,5797
5/8/09,1479,8088,963,2054,1815,817,947,1394,2454,1805,1258,2994,2589,1224,54485,2262,7184,638,471,12156,4555,950,1961,167,184,345,1403,927,4993,5583
5/9/09,1129,6604,711,1658,1120,619,657,1006,1923,1183,1013,2451,2073,876,7106,1430,5324,546,422,10958,3127,726,1445,82,124,252,1194,715,3879,9063
5/10/09,1146,7337,627,1771,1166,812,748,1347,2164,1259,1030,2335,2097,952,6367,1377,6134,539,351,11368,3881,673,1522,88,96,248,1157,808,4305,6702
5/11/09,1657,10193,917,2407,2103,931,1150,1690,2998,1662,1344,3305,3371,1691,9255,2379,8149,821,680,13134,5832,1374,2323,186,200,352,1759,1012,6070,7075
5/12/09,1754,10040,1054,2556,2129,932,1160,1655,3174,1743,1519,3535,3126,1609,9488,2384,8178,866,621,13708,6032,1209,2349,197,247,349,1894,1065,6150,6654
5/13/09,1712,9927,933,2488,2021,886,1092,1762,3121,1591,1468,3712,12028,1499,9106,2444,8371,852,585,12964,5716,1164,2150,196,285,322,1933,1190,5593,6631
5/14/09,1618,10238,969,2386,2009,815,1156,1666,2905,1593,1500,3671,26996,1306,8792,2351,8233,777,528,13439,5752,1470,2119,193,242,355,1766,1088,5820,6339
5/15/09,1359,8636,834,2162,1682,806,920,1444,2491,1393,1165,3128,10021,1173,7609,2132,7792,617,481,12462,5053,1235,3359,150,190,342,1498,950,5003,5907
5/16/09,924,6075,622,1722,1186,585,620,1051,1808,961,984,2060,7044,720,5341,1314,5014,453,308,10170,3163,651,1443,64,115,214,997,665,6190,4933
5/17/09,1162,7356,714,1700,1272,638,768,1122,2031,1058,1170,2310,4163,937,6413,1301,5929,495,355,9787,4189,694,1624,72,83,218,1087,722,4307,5282
5/18/09,1653,9099,947,2242,1956,901,1122,1581,2848,1777,1709,3342,3421,1435,9977,2211,7637,824,572,12745,5680,1081,2233,198,227,345,1687,990,5508,6047
5/19/09,2158,9203,976,2404,2246,876,1122,1599,2995,1763,1615,3399,3326,1407,8838,2490,7855,812,556,12749,5293,1128,2234,220,234,329,1573,1165,6268,5949
5/20/09,1823,9166,1006,2352,2071,845,1076,1648,2833,1657,1370,3493,3140,1367,8545,2151,7670,826,570,12839,5042,1031,2343,214,255,354,1642,1171,5839,6109
5/21/09,1711,8729,887,2447,1940,827,1107,1620,2684,1478,1464,3093,2791,1317,8443,2171,7333,756,518,12573,5000,966,2227,201,484,302,1553,1122,5609,6733
5/22/09,1573,7769,814,2237,1742,763,857,1331,2345,1431,1303,2806,2520,1410,6982,2156,7331,720,454,11019,4566,883,1712,184,351,289,1481,973,6220,5688
5/23/09,1107,5580,618,1522,1049,557,585,1026,1550,908,1067,1990,1971,1099,5494,1317,4914,492,295,10113,3217,638,1255,79,133,221,912,717,4044,4665
5/24/09,1019,6167,601,1666,1116,576,741,949,1720,944,1061,1990,2101,890,6047,1309,5830,470,327,10173,3450,687,1479,89,134,203,987,689,4351,5204
5/25/09,1215,7641,872,1960,1601,781,939,1332,2260,1187,1341,2959,2576,1320,7725,1669,6810,586,420,11430,4337,868,1827,130,160,240,1173,917,5105,5632
5/26/09,1564,9435,1098,2325,1964,936,1229,1642,2978,1562,1582,3502,3060,1520,10963,2370,7266,913,625,12213,5673,1133,2150,214,267,431,1812,1025,6120,6392
5/27/09,1700,8904,950,2287,1956,1152,1138,1683,2859,1782,1391,3567,2948,1264,9419,2386,7322,735,552,12278,5661,1161,2002,247,283,330,1714,997,5910,5943
5/28/09,1695,8870,909,2482,1940,929,1117,1573,2868,1559,1293,3185,2945,1127,8473,2317,6723,774,553,11814,5149,1054,1913,212,298,339,1711,1012,5628,5905
5/29/09,1491,8567,800,2093,1699,752,863,1379,2529,1406,1178,2807,2465,939,7162,2150,6360,703,472,11741,4521,935,1739,186,282,305,1512,1051,5078,5632
5/30/09,1154,6001,796,1517,1115,611,657,1133,3153,911,1035,2372,2156,678,5379,1374,4563,454,325,9943,3300,664,1273,97,183,224,1052,739,4102,5319
5/31/09,1064,6935,765,1713,1171,644,822,1226,2575,992,1009,2179,2071,712,6016,1381,5502,611,324,10201,4018,728,1409,93,128,188,1128,763,5584,5963
6/1/09,1650,9323,950,3591,2722,1050,1475,1809,4215,1639,1332,3304,2824,1050,7695,2529,6847,896,582,12695,5298,1181,2003,1662,302,467,1738,994,6763,6431
6/2/09,1674,8901,1037,4353,3144,1070,1565,1739,3934,1669,1201,3250,2976,1283,8542,2617,7070,915,658,11798,4876,1161,2006,1413,276,459,1772,1079,5542,6105
6/3/09,1679,8524,948,3780,2593,837,1298,1663,3556,1597,1179,3176,2994,1308,8338,2506,7493,861,649,11188,5140,1204,1922,686,269,438,1644,1001,5470,5831
6/4/09,1503,8087,990,3550,2269,861,1099,1515,2992,1819,1190,3204,2846,1191,7167,2201,7074,796,611,12463,5208,1006,1969,462,243,419,1554,1105,6858,5806
6/5/09,1474,8735,935,3259,1917,816,1094,1320,2847,1485,1127,3002,2636,1087,6599,2229,6418,711,565,8820,4391,957,1754,409,248,360,1508,927,5802,5622
6/6/09,1089,6149,626,2709,1232,509,878,1015,1972,981,813,2000,2041,730,5255,1382,5164,511,293,8776,3100,635,1299,249,135,219,1008,730,4231,4992
6/7/09,1031,6790,797,2659,1240,622,863,1126,2059,1048,1040,2299,2217,765,5507,1254,6024,525,337,8555,3803,693,1401,244,111,249,1056,690,4486,5584
6/8/09,1700,10983,910,3351,2199,893,1278,1456,2920,1564,1220,3315,2797,1219,7383,2257,7396,804,627,10063,4986,1057,2118,547,289,366,1594,1176,5818,6248
6/9/09,1692,11837,961,3518,2307,1116,1088,2291,3416,1823,1235,3437,2899,1205,7790,2599,7502,800,680,12749,5079,1018,2387,430,308,359,1808,1077,5619,6267
6/10/09,1683,9757,1070,2997,2223,1212,1066,2275,3296,1809,1257,3519,3039,1301,7702,2367,7175,785,594,10046,4789,1159,2590,410,322,319,1630,1147,5544,6279
6/11/09,1476,9298,997,3194,2045,1033,1084,1888,3027,1761,1306,3068,2646,1174,8101,3786,7266,814,512,10818,4370,1057,2046,374,280,372,1581,1070,5334,6120
6/12/09,1468,8455,844,2635,1796,884,975,1684,2592,1487,1191,3073,2614,1056,6933,2493,6301,746,508,28283,4261,1003,1809,294,200,341,1517,961,4681,5762
6/13/09,971,6703,675,2200,1165,693,753,1197,1839,884,1005,2122,2175,700,5096,1463,5211,680,366,10075,3077,635,1413,162,140,211,1037,751,3923,5036
6/14/09,1002,7144,702,2242,1211,641,647,1077,1878,1025,1012,2193,2267,746,5976,1411,5758,656,338,11687,3377,710,1421,179,99,224,1086,782,4518,6070
6/15/09,1610,8593,936,3121,2022,824,1210,1535,2745,1774,1280,3084,2845,1219,7521,2331,7154,805,530,15270,4973,1107,2104,310,296,364,1529,1113,5226,6249
6/16/09,1635,8401,985,3256,2098,825,1118,1642,3008,2036,1175,3273,2889,1123,7261,2205,7887,819,576,15937,4514,1143,2006,282,247,391,1685,1118,5463,6072
6/17/09,1634,8632,946,2932,2116,836,1011,1434,2717,3966,1201,3228,3087,1134,7165,2461,7063,858,561,15636,4564,1110,1915,293,253,349,1547,1035,5467,6009
6/18/09,1488,8147,925,2889,2051,840,926,1444,2794,2723,1180,3210,2802,1058,6550,2329,7123,823,540,15310,4490,1062,1788,330,255,360,1766,1035,5170,6127
6/19/09,1373,7568,911,2695,1775,754,881,1274,2809,1978,1096,2920,2743,895,6205,2147,6430,861,422,14757,3794,933,1824,294,233,326,1441,939,4655,5744
6/20/09,1004,8047,620,1975,1184,505,598,960,1802,1194,986,2246,2177,654,4727,1401,5053,556,292,13663,3050,655,1314,182,106,220,1078,786,4029,5293
6/21/09,1140,7327,736,2035,1225,620,759,1046,1878,1165,941,2357,2278,702,5282,1512,5082,499,323,13684,3164,652,1307,157,140,228,1069,811,4127,5451
6/22/09,1507,9530,968,3166,1964,828,1042,1446,2604,2297,1241,3425,2876,1062,6659,2357,6831,858,541,15433,4477,1158,1982,288,282,333,1627,1095,5201,6486
6/23/09,1737,9174,942,3935,1979,781,974,1433,2545,2404,1234,9391,3110,1185,6709,2256,6498,816,536,14990,4276,1043,1857,304,298,321,1631,1187,5076,6429
6/24/09,1597,8848,953,3498,2113,740,1013,1259,2862,1887,1194,6648,2946,1182,7196,2350,6231,882,541,15183,4127,1035,1866,344,263,343,1553,1061,4772,6387
6/25/09,1394,7569,1008,2671,1821,831,1011,1355,2515,2084,1194,4316,2526,1131,6533,2436,6640,819,537,14831,4128,1028,1782,320,311,332,1460,1064,4509,6093
6/26/09,1257,6162,974,2272,1561,657,782,1103,2437,1803,1030,3399,2399,833,5551,2016,5392,686,468,12879,3303,753,1469,226,230,244,1159,900,3785,5656
6/27/09,890,4640,797,1675,1127,543,589,887,1662,1099,874,2261,1966,641,4526,1228,4478,499,302,9113,2522,665,1115,140,91,205,1003,697,5187,4974
6/28/09,914,5138,898,1808,1104,561,728,901,1660,1163,885,2500,1938,658,4965,1293,4879,551,362,4523,3114,601,1288,170,130,166,968,694,3241,5248
6/29/09,1493,7193,1086,2324,1914,774,1048,1363,2750,1862,1206,3401,2662,1068,6142,2126,6068,837,553,6089,3718,976,1769,314,220,327,1586,940,4286,5981
6/30/09,1592,7448,1084,4118,1987,942,913,1428,2755,1929,1184,3459,2728,1156,5988,2305,6473,946,524,9669,3805,1009,1802,321,250,316,1476,962,4526,5989
7/1/09,1712,6953,943,3276,1893,804,929,1328,2345,1838,997,3143,2701,1117,6280,2258,6173,754,579,10172,3740,1032,1781,291,288,298,1509,990,4587,5352
